NM_URNA_CANDIDATO,SG_PARTIDO,SG_UF,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
LAURA ARRUDA ,PP,MS,47.0,FEMININO,SUPERIOR INCOMPLETO,PEDAGOGO,N,NÃO DIVULGÁVEL,11222
PROFESSOR CLEITON (CLEITINHO),PV,MG,45.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,43700
DR ZEMA DURAS VERDADES,SOLIDARIEDADE,RJ,47.0,MASCULINO,LÊ E ESCREVE,OUTROS,N,NÃO DIVULGÁVEL,77670
CALINA LOPES ,PT,PI,50.0,FEMININO,SUPERIOR COMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,13113
JANIO MENDES,PDT,RJ,57.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,12601
PEDRO DE DR. ILIO,SOLIDARIEDADE,MG,34.0,MASCULINO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,77500
REMI CALHEIROS,MDB,AL,60.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,AGRICULTOR,N,NÃO DIVULGÁVEL,15456
DELEGADO JOSÉ AURELIANO,PATRIOTA,GO,55.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,51015
DR. DIEGO TARESZKIEWICZ,REPUBLICANOS,PR,40.0,MASCULINO,SUPERIOR COMPLETO,ODONTÓLOGO,N,NÃO DIVULGÁVEL,10305
BILL CLINTON DO AMAPÁ,PODE,AP,27.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,19119
PAULO GONTIJO,PSD,RJ,41.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,55553
PROF JUNINHO BRAIGHI,PMN,MG,41.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,33031
JORGE PANZERA,PC do B,PA,52.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,65123
PITANGUI DO ESPORTE,REPUBLICANOS,MG,57.0,MASCULINO,SUPERIOR INCOMPLETO,SECURITÁRIO,N,NÃO DIVULGÁVEL,10007
JORGE MURILO,PT,RJ,34.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,13133
ISABELA RAHAL,PSB,SP,32.0,FEMININO,SUPERIOR COMPLETO,CIENTISTA POLÍTICO,N,NÃO DIVULGÁVEL,40001
ANA DE JESUS,UNIÃO,MG,68.0,FEMININO,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,N,NÃO DIVULGÁVEL,44450
BIRA TEIXEIRA,PT,RS,49.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,13285
AMARILDO CRUZ,PT,MS,60.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,S,NÃO DIVULGÁVEL,13013
MARIA XAVIER,PSB,TO,65.0,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,40222
EMMILIM BLACK,PROS,MS,29.0,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,90033
MARCUS VINÍCIUS,PP,RS,40.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,11211
TATIANA HONORATO,PMB,MG,28.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,35234
PABLO DA CONDE,PRTB,RJ,39.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,28288
BISPO ALVES,REPUBLICANOS,ES,65.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,10123
MACHADO,PL,SE,74.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,22000
TIM DO SÃO JUDAS,AVANTE,MG,55.0,MASCULINO,ENSINO MÉDIO COMPLETO,MILITAR REFORMADO,N,NÃO DIVULGÁVEL,70028
ANDRÉIA PÁDUA,PTB,RJ,44.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,14123
REGINA DO BEM,PTB,SP,62.0,FEMININO,SUPERIOR COMPLETO,DECORADOR,N,NÃO DIVULGÁVEL,14099
MOACIR COUTO,PP,MT,46.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,11333
GUILDER,PSC,MG,35.0,MASCULINO,SUPERIOR COMPLETO,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",N,NÃO DIVULGÁVEL,20163
MARCELINHO,PROS,RJ,41.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,90555
SANDRO FANTINEL,PATRIOTA,RS,54.0,MASCULINO,ENSINO MÉDIO COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,51022
MARCIO CAMPOS,PTB,SP,54.0,MASCULINO,ENSINO MÉDIO COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,14550
LUCIANA LANA,PSC,MG,45.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,20105
GENERAL ADALBERTO MUNIZ,MDB,MS,51.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,15144
FILIPE ABRANCHES,PDT,MG,32.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,12007
SILVIA LETÍCIA LUTA SERVIDORES,PSOL,PA,50.0,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,50225
PROF CATIA COLOMBO,CIDADANIA,RS,50.0,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,23400
REPOLHINHO,PSDB,RS,59.0,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,45015
 CATARINA PALADINI,PSDB,RS,40.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,45777
FRED,PSB,SC,40.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,40500
FERNANDINHO,PSB,GO,45.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,40440
LINDA DURANS,PDT,TO,37.0,FEMININO,ENSINO MÉDIO COMPLETO,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,N,NÃO DIVULGÁVEL,12312
MARIA ALVES,PT,MG,39.0,FEMININO,SUPERIOR COMPLETO,TRABALHADOR RURAL,N,NÃO DIVULGÁVEL,13567
MARISA TABORDA,AVANTE,RS,55.0,FEMININO,LÊ E ESCREVE,OUTROS,N,NÃO DIVULGÁVEL,70017
PAULO BRANDÃO,AVANTE,RS,60.0,MASCULINO,ENSINO MÉDIO COMPLETO,"TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO",N,NÃO DIVULGÁVEL,70654
AZEVEDO,PL,AC,38.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,22022
DR RENER,PODE,PA,44.0,MASCULINO,SUPERIOR COMPLETO,ODONTÓLOGO,N,NÃO DIVULGÁVEL,19999
DANIELLE SOUZA,PMN,RJ,47.0,FEMININO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,33833
MISSIONÁRIA MAGNA PET,PRTB,SP,51.0,FEMININO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,28281
ENG. SEBASTIÃO MACHADO REZENDE,UNIÃO,MT,59.0,MASCULINO,SUPERIOR COMPLETO,ENGENHEIRO,S,NÃO DIVULGÁVEL,44044
NETO DA OFICINA,PSC,MA,57.0,MASCULINO,ENSINO MÉDIO COMPLETO,MECÂNICO DE MANUTENÇÃO,N,NÃO DIVULGÁVEL,20888
WILL MANDATO VERDE COLETIVO,PV,SP,45.0,MASCULINO,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,43123
LEICE DA MORADIA,PSB,TO,34.0,FEMININO,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,40022
PROF ELISÂNGELA CERQUEIRA,PTB,BA,47.0,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,14111
EDUARDO CABELEIREIRO,PATRIOTA,SP,59.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,51321
JENNIFER OLIVEIRA,PP,AC,21.0,FEMININO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,11333
MARCOS FONTES,UNIÃO,SP,26.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,44600
ANATOLIO QUEIROZ,PRTB,GO,44.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,28222
THIAGO BORGES,PL,TO,31.0,MASCULINO,ENSINO MÉDIO COMPLETO,PECUARISTA,N,NÃO DIVULGÁVEL,22100
IRMÃ FÁTIMA RIBEIRO,UNIÃO,CE,68.0,FEMININO,ENSINO MÉDIO COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,44122
SUBOFICIAL SEBASTIÃO RIBEIRO,PTB,RJ,53.0,MASCULINO,SUPERIOR COMPLETO,MILITAR REFORMADO,N,NÃO DIVULGÁVEL,14114
ADENÓLIA,PSDB,MA,72.0,FEMININO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,45678
KÁTIA RANGEL,PSB,RJ,54.0,FEMININO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,40029
DR SIDNEI MEDEIROS,PDT,SP,42.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,12512
KETLIN COSTA,REDE,PR,25.0,FEMININO,SUPERIOR COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,18456
JUNIOR ENGRAXATE,PMB,RO,36.0,MASCULINO,ENSINO MÉDIO COMPLETO,ENGRAXATE,N,NÃO DIVULGÁVEL,35364
ERON,PV,CE,44.0,MASCULINO,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,43111
LITTIZINHO,PSD,RS,29.0,MASCULINO,SUPERIOR COMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,N,NÃO DIVULGÁVEL,55113
HASSAN DE ZÉ COCÁ,PP,BA,53.0,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,11122
ALCEU MOGNON,PTB,MT,57.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,14014
PROFESSORA MIRELA,DC,MG,43.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,27899
LU OGAWA,PP,PA,42.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,11011
DR VITOR CARDIM,PTB,BA,36.0,MASCULINO,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,14012
CARLOS VILÃO,PMN,SE,66.0,MASCULINO,ENSINO MÉDIO COMPLETO,CONTADOR,N,NÃO DIVULGÁVEL,33100
LUCIANO PACHECO,PATRIOTA,PE,47.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,51789
NEIDINHA ARAÚJO,PSB,RR,48.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,40777
EDILSON ROCHA,PV,BA,62.0,MASCULINO,SUPERIOR COMPLETO,CONTADOR,N,NÃO DIVULGÁVEL,43450
DANIEL MARTINI,PODE,SP,40.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,19200
LOBÃO,MDB,AL,45.0,MASCULINO,ENSINO MÉDIO COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,15800
ROQUE BOCÃO,PRTB,BA,55.0,MASCULINO,ENSINO MÉDIO COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,28128
DR HENRIQUE GALVÃO,PP,RJ,49.0,MASCULINO,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,11711
IVANOVITE,PL,AL,27.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,22444
BRUNO KAZUHIRO,PSDB,RJ,35.0,MASCULINO,SUPERIOR COMPLETO,CIENTISTA POLÍTICO,N,NÃO DIVULGÁVEL,45100
ROSI CESHINI,AGIR,SP,50.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,36022
DEFENSOR ADONIS,AGIR,AM,59.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,36222
RENATO CÂMARA,MDB,MS,50.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,15150
PEDRO KAWAI,PSDB,SP,52.0,MASCULINO,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,45555
MARINHO,PL,PE,40.0,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,22380
JAIRO VANDERLEI DA DNP,PL,AL,45.0,MASCULINO,ENSINO MÉDIO INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,22888
