NM_URNA_CANDIDATO,SG_PARTIDO,SG_UF,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
DO CARMO,UNIÃO,PR,46.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,S,NÃO DIVULGÁVEL,44222
WAL,PC do B,AC,52.0,FEMININO,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,65654
RUFINO BOMBEIRO,UNIÃO,PA,54.0,MASCULINO,ENSINO MÉDIO COMPLETO,ELETRICISTA E ASSEMELHADOS,N,NÃO DIVULGÁVEL,44193
ENFERMEIRA CARLA PRADO,SOLIDARIEDADE,MG,50.0,FEMININO,SUPERIOR COMPLETO,ENFERMEIRO,N,NÃO DIVULGÁVEL,77277
SARGENTO GUEDES,PP,PR,44.0,MASCULINO,SUPERIOR COMPLETO,BOMBEIRO MILITAR,N,NÃO DIVULGÁVEL,11193
JOÃO LAURINDO- O CABEÇA BRANCA,PDT,AL,62.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,12888
JÉSSICA SANTOS,PT,AM,32.0,FEMININO,ENSINO MÉDIO INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,13418
LÍVIA RODRIGUES,PMB,RR,41.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,35333
JEOVANNE,PTB,TO,41.0,MASCULINO,SUPERIOR COMPLETO,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,N,NÃO DIVULGÁVEL,14777
RUBÃO,PP,MG,46.0,MASCULINO,ENSINO MÉDIO COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,11511
MANOEL DO POVO,PMN,MG,54.0,MASCULINO,LÊ E ESCREVE,OUTROS,N,NÃO DIVULGÁVEL,33026
LUIZINHO DO SACOLÃO,AVANTE,SC,59.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,70555
LUIZ GALO,PROS,MG,49.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,MOTORISTA PARTICULAR,N,NÃO DIVULGÁVEL,90077
PROFESSORA ELZA FERNANDES,PSD,MS,52.0,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,55555
DELEGADO LUCENA,PSD,RN,64.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL CIVIL,N,NÃO DIVULGÁVEL,55190
CAÇULINHA ,PDT,RJ,67.0,MASCULINO,ENSINO MÉDIO COMPLETO,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",N,NÃO DIVULGÁVEL,12122
DELEGADA MARIA NYSA,PT,PR,50.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,13144
CHUCK REINALDO,PMB,MG,55.0,MASCULINO,LÊ E ESCREVE,EMPRESÁRIO,N,NÃO DIVULGÁVEL,35431
EDUARDO LOUREIRO,PDT,RS,48.0,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,S,NÃO DIVULGÁVEL,12412
LAURA KAMIA,PSD,SP,58.0,FEMININO,SUPERIOR COMPLETO,ECONOMISTA,N,NÃO DIVULGÁVEL,55077
CARLOS HENRIQUE,REPUBLICANOS,MG,52.0,MASCULINO,SUPERIOR INCOMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,10123
JOSÉ VICTOR,AVANTE,MS,28.0,MASCULINO,ENSINO MÉDIO COMPLETO,PUBLICITÁRIO,N,NÃO DIVULGÁVEL,70777
RAQUEL DA OTICA,PMN,MG,45.0,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,33763
AGEMIR DE CARVALHO DIAS,REDE,PR,60.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,18111
RAFAEL LEITOA,PSB,MA,40.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,40212
GLEIMO MARTINS,PMN,GO,46.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,33033
DR. LEANDRO VASQUES,PP,PA,33.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,11091
DR VONG,PSDB,SP,64.0,MASCULINO,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,45622
BB,PSDB,GO,35.0,MASCULINO,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,45645
MC PEDRÃO,PSOL,RS,55.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,50888
DECIO HUNIKUI,UNIÃO,AC,51.0,MASCULINO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,44789
MAGDA DE BONFINÓPOLIS,SOLIDARIEDADE,GO,46.0,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,77027
DR EDUARDO CARNEIRO,PODE,SP,62.0,MASCULINO,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,19300
FERNANDO BRAZ,PRTB,RJ,43.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,28020
ALEXANDRA SANCHES,PSC,MG,25.0,FEMININO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,20369
ANGELA MORAES,PRTB,PA,42.0,FEMININO,ENSINO MÉDIO COMPLETO,COZINHEIRO,N,NÃO DIVULGÁVEL,28915
PROFESSOR RAUL RIBAS,PT,SC,56.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,13444
JOABE RODRIGUES,AGIR,MA,36.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,36700
CHRISTIANO PUPPI,PP,PR,33.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,11025
RUBENS MARQUES,UNIÃO,GO,61.0,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,S,NÃO DIVULGÁVEL,44555
LISIANE BECKER,PP,RS,55.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,11138
MARCIA CARVALHO,PATRIOTA,MA,44.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,51776
MOISES NASCIMENTO,PTB,SP,42.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,MOTORISTA PARTICULAR,N,NÃO DIVULGÁVEL,14115
LUCÉLIA LIMA,PDT,PE,43.0,FEMININO,SUPERIOR COMPLETO,CONTADOR,N,NÃO DIVULGÁVEL,12888
THEREZINHA VERGNA,REDE,ES,64.0,FEMININO,ENSINO MÉDIO COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,18900
JULIANO MERKES,AGIR,SP,47.0,MASCULINO,SUPERIOR INCOMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,36003
ALEX AMARANTE,PSD,RJ,40.0,MASCULINO,ENSINO MÉDIO COMPLETO,ALMOXARIFE,N,NÃO DIVULGÁVEL,55755
SELMA LOPES,PSD,RN,62.0,FEMININO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,55055
LUISINHO LUA,PTB,CE,59.0,MASCULINO,ENSINO MÉDIO COMPLETO,MÚSICO,N,NÃO DIVULGÁVEL,14678
MÁRCIO FERREIRA,AVANTE,RJ,48.0,MASCULINO,ENSINO MÉDIO INCOMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,70134
JONAS NOGUEIRA,PROS,MS,55.0,MASCULINO,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,90790
EVANDRO BEHR,PP,RS,52.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,11711
ALEX PAIVA,REPUBLICANOS,CE,46.0,MASCULINO,SUPERIOR INCOMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,10275
BETINHO ALBERTASSI,UNIÃO,RJ,41.0,MASCULINO,SUPERIOR COMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,N,NÃO DIVULGÁVEL,44088
CARLITINHO PRATA,AGIR,PI,57.0,MASCULINO,ENSINO MÉDIO COMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,36210
FERNANDA CAETANO,PRTB,SP,40.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,28025
PETRUSKA DA SEGURANÇA,PSB,PR,39.0,FEMININO,SUPERIOR COMPLETO,POLICIAL CIVIL,N,NÃO DIVULGÁVEL,40000
SILVIA BRASIL,PL,CE,57.0,FEMININO,ENSINO MÉDIO COMPLETO,"SECRETÁRIO,ESTENÓGRAFO,DATILÓGRAFO,RECEPCIONISTA,TELEFONISTA,TAQUÍGRAF",N,NÃO DIVULGÁVEL,22522
ANTÔNIA DO LANCHE,PDT,AC,56.0,FEMININO,ENSINO MÉDIO INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,12888
DELEGADO LEONAM,UNIÃO,AL,34.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,44444
RECALCATI,PATRIOTA,SC,32.0,MASCULINO,ENSINO MÉDIO COMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,51123
AGOSTINHO DO MACAKÉTE E PCI,PP,PR,66.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,11281
JOEL BRITO,PMB,MA,28.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,35444
CRISTINO BOMFIM,SOLIDARIEDADE,PB,53.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,77200
JOSÉ PEREIRA,PRTB,MA,61.0,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,28444
ADRIANO BENTO ,PTB,CE,40.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,14400
SOLANGE ALMEIDA,PL,MA,43.0,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,22345
OSEIAS MARTINS,REPUBLICANOS,RJ,51.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,10654
WAGNER LIRA,PP,AL,35.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,11123
PROFESSOR MELQUE,PSDB,AP,38.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,45456
DR. ALCY,PATRIOTA,SP,59.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,51107
LUCAS BOVE,PL,SP,35.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,22500
BETO ALEGRIA,REDE,MG,37.0,MASCULINO,ENSINO MÉDIO COMPLETO,MECÂNICO DE MANUTENÇÃO,N,NÃO DIVULGÁVEL,18123
EDUARDO KITA,AVANTE,RJ,60.0,MASCULINO,SUPERIOR INCOMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,70222
ALESSANDRO CARDOSO,PODE,AP,27.0,MASCULINO,ENSINO MÉDIO COMPLETO,VIGILANTE,N,NÃO DIVULGÁVEL,19900
KATIA DUARTE,PT,RS,52.0,FEMININO,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,N,NÃO DIVULGÁVEL,13799
JORGE MIGUEL O PARCEIRÃO,PSC,AM,43.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,20111
CANTOR ABEDENEGO RODRIGUES,REPUBLICANOS,CE,36.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,10369
MARQUINHO FARIA,PSDB,RJ,51.0,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,45045
ESTELINHA DO CIEP,PDT,RJ,66.0,FEMININO,SUPERIOR COMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,12008
BERIVALDO BAIANO,DC,GO,50.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,27250
MARIA AUGUSTA,PSC,AM,52.0,FEMININO,SUPERIOR COMPLETO,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),N,NÃO DIVULGÁVEL,20678
ADRIANA FIGUEIREDO,PROS,MG,48.0,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,90788
MARCOS APURINÃ,PSC,AM,52.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,20013
ODILZA PRETA,PV,MT,48.0,FEMININO,SUPERIOR INCOMPLETO,"TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO",N,NÃO DIVULGÁVEL,43300
JULIO MIRANDA,PDT,MS,40.0,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,12555
MELQUISEDEK,UNIÃO,RR,45.0,MASCULINO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,44192
MANELÃO,REPUBLICANOS,BA,60.0,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,10101
GERALDO DE ALMEIDA,AVANTE,MG,53.0,MASCULINO,SUPERIOR COMPLETO,FARMACÊUTICO,N,NÃO DIVULGÁVEL,70888
FERNANDO TORQUATO,NOVO,SC,42.0,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,30444
DAIANA HUFF,MDB,RO,35.0,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,15888
ROGERIO TAVARES,PATRIOTA,BA,43.0,MASCULINO,SUPERIOR COMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,51678
NIL CRISPIM,PODE,AC,36.0,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,19789
MILENA AIRES,SOLIDARIEDADE,TO,35.0,FEMININO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,77000
NICEIA MARILU ,PL,PR,64.0,FEMININO,SUPERIOR COMPLETO,ARTISTA PLÁSTICO E ASSEMELHADOS,N,NÃO DIVULGÁVEL,22228
ABREU DE CAPISTRANO,UNIÃO,CE,54.0,MASCULINO,SUPERIOR INCOMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,44678
LUCIEDSON FREITAS,UNIÃO,CE,50.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,44040
RADMARK,PTB,TO,52.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,14023
CLARINEU NOGUEIRA,PT,MS,59.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,13333
ZURAH ORTIZ,PTB,SP,81.0,FEMININO,ENSINO MÉDIO COMPLETO,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",N,NÃO DIVULGÁVEL,14114
NILO SERGIO,PTB,RJ,63.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,14614
WILIAM PRADO,MDB,RJ,42.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,15003
WAGNER FEITOSA,MDB,RR,40.0,MASCULINO,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,15777
LU DO ARTESANTO,PMN,RJ,66.0,FEMININO,ENSINO MÉDIO COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,33044
SARGENTO ERICK,DC,MG,38.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,27444
CAETANO DO ESCOLAR,PDT,MG,59.0,MASCULINO,ENSINO MÉDIO INCOMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,N,NÃO DIVULGÁVEL,12040
BÊ DO SOBRADO,UNIÃO,ES,45.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,44022
LEO OLIVEIRA,MDB,SP,58.0,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,S,NÃO DIVULGÁVEL,15123
LUCIA MEDEIROS,PSDB,RO,61.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,45770
EDNA MACEDO,REPUBLICANOS,SP,74.0,FEMININO,ENSINO MÉDIO COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,10456
CÍCERO DO OPALA,MDB,RS,49.0,MASCULINO,ENSINO MÉDIO COMPLETO,LANTERNEIRO E PINTOR DE VEÍCULOS,N,NÃO DIVULGÁVEL,15300
EDNA TANCREDO NEVES,PMN,BA,40.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,33156
GERALDO GERALDINHO,PMN,SP,64.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,33222
ROBERTO CARVALHO,PT,MG,69.0,MASCULINO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,13480
IRLAN GUEDES,AVANTE,AP,34.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,70223
KADJA RUTE,PSOL,SE,40.0,FEMININO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,50123
PROFESSOR CÍCERO,PDT,SP,51.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,12051
BRUNO DA BARBEARIA,REDE,PR,34.0,MASCULINO,ENSINO MÉDIO COMPLETO,CABELEIREIRO E BARBEIRO,N,NÃO DIVULGÁVEL,18555
PROFESSORA CLEMILDA,REDE,PR,74.0,FEMININO,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,18345
PINA CARVALHO,REPUBLICANOS,BA,48.0,FEMININO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,10012
KLENIO REIS,PROS,AP,39.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,90456
LARISSA MARCA,PSB,MS,36.0,FEMININO,ENSINO MÉDIO INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,40045
DIEGO DIAS,PL,PR,35.0,MASCULINO,ENSINO MÉDIO COMPLETO,MOTOBOY,N,NÃO DIVULGÁVEL,22017
GOVINDA DA LIMPEZA,PSB,RR,34.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,40231
ELISVALDO LORINHO DO POVO,PC do B,PE,37.0,MASCULINO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,65111
FLOR DA COLETIVA,PC do B,PE,31.0,FEMININO,SUPERIOR COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,65100
DELEGADO LUNA,PL,PI,45.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,22333
LUCIANO SIMÕES,UNIÃO,BA,39.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,44123
CRIS GÊMEAS,UNIÃO,RJ,52.0,FEMININO,SUPERIOR COMPLETO,PEDAGOGO,N,NÃO DIVULGÁVEL,44999
ANDRÉ DO PRADO,PL,SP,53.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,22999
MARCELO SALOMÃO,PSDB,MS,55.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,45067
VAN BRASIL COLETIVO ES,PSDB,ES,48.0,MASCULINO,ENSINO MÉDIO COMPLETO,MÚSICO,N,NÃO DIVULGÁVEL,45700
ROSANGELA LOYOLA,PSDB,ES,44.0,FEMININO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,45300
JULIANO CRUZ,SOLIDARIEDADE,BA,63.0,MASCULINO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,77700
JOCIMAR SEVERO,PL,RR,55.0,MASCULINO,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,22220
PROFESSORA PATRÍCIA,PTB,GO,43.0,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,14314
DEJANIRA TARZAN,PDT,SP,53.0,FEMININO,SUPERIOR COMPLETO,BIOMÉDICO,N,NÃO DIVULGÁVEL,12612
IRMÃO ARI,PROS,RR,44.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,90222
MARIO FAUSTINO,PSB,BA,75.0,MASCULINO,ENSINO MÉDIO INCOMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,40051
GENESIO FERNEDA,PSD,TO,73.0,MASCULINO,SUPERIOR COMPLETO,PECUARISTA,N,NÃO DIVULGÁVEL,55777
DORIEL,PT,PE,47.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,13123
LAÉRCIO DE GOUVÊA,DC,PR,65.0,MASCULINO,LÊ E ESCREVE,AGRICULTOR,N,NÃO DIVULGÁVEL,27027
J. RICARDO,PSC,RJ,54.0,MASCULINO,ENSINO MÉDIO COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,20000
DR SALISMAR,SOLIDARIEDADE,RN,56.0,MASCULINO,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,77000
JUNIOR MATUTO,PSB,PE,43.0,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,40111
PEPE,REDE,MG,53.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,18155
LEIDINALDO DA PESCA,REPUBLICANOS,AP,44.0,MASCULINO,ENSINO MÉDIO COMPLETO,PESCADOR,N,NÃO DIVULGÁVEL,10258
ZÈ BENTO,PATRIOTA,SP,50.0,MASCULINO,LÊ E ESCREVE,OUTROS,N,NÃO DIVULGÁVEL,51250
SARGENTO MENDES ,PROS,MA,50.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,90345
ANGELO ALMEIDA,PSB,BA,59.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,40100
VALDILENE QUEIROZ,SOLIDARIEDADE,PB,54.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,77444
MESTRE ZÓI,PATRIOTA,MG,50.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,51234
NAIANE GOMES,SOLIDARIEDADE,PI,33.0,FEMININO,SUPERIOR COMPLETO,PSICÓLOGO,N,NÃO DIVULGÁVEL,77888
´THAY COSTA,SOLIDARIEDADE,RR,37.0,FEMININO,ENSINO MÉDIO INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,77200
PROFESSOR SINFRONIO,AVANTE,PA,69.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,70777
NETO CUNHA,PSD,BA,42.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,55513
RODRIGO MAIA,PP,MG,46.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,11001
SUB. FATIMA,PL,RN,53.0,FEMININO,SUPERIOR INCOMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,22722
LEANDRO CASA DO UNIVERSITARIO,PROS,SP,30.0,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,90198
DR CASEMIRO,PDT,SP,64.0,MASCULINO,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,12321
DR. VALDI,PL,PE,65.0,MASCULINO,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,22000
BEATRIZ MOURA,PODE,RJ,65.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,19449
MARIZA SANTOS,PL,BA,63.0,FEMININO,ENSINO MÉDIO COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,22999
JÚLIO TÔNICO COVAS,PMB,SP,48.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,35622
CELOIR GUEDES,PDT,MT,52.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,12610
ELI LEAL,PV,MT,60.0,MASCULINO,SUPERIOR COMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,43222
ALDO COSTA,PDT,PI,51.0,MASCULINO,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,12222
BISPO FILHO,AVANTE,AL,65.0,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,70444
SAULO DA CASINHA,DC,PR,57.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,27123
IDONEIL MESQUITA,PP,PI,65.0,MASCULINO,SUPERIOR COMPLETO,GERENTE,N,NÃO DIVULGÁVEL,11200
PROFESSORA SUZANA,PSDB,SC,39.0,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,45333
FABIO OLIVEIRA,PODE,PR,49.0,MASCULINO,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,19190
